ID,Name,Price,"Quantity on Hand"
642,"Schauss pink Dining Chair",$89.99,223
643,"Sonic silver Reclining Loveseat","$1,023.99",150
644,"Old burgundy Stool",$54.99,76
645,"Black coral Bed",$389.99,103
646,"Straw Stool",$54.99,248
647,"Sapphire blue Crib",$289,55
648,"Medium turquoise Nightstand",$81.99,137
649,"Green Reclining Sofa","$1,119.99",166
650,"Dark sea green Reclining Loveseat","$1,023.99",27
651,"Light French beige Sofa",$1249.99,203
652,"Straw Reclining Sofa","$1,119.99",208
653,"Cambridge blue End Table",$99.99,96
654,"Purple Plum Crib",$289,48
655,"Ultramarine Plant Stand",$42.99,230
656,"Piggy pink Futon",$419.99,195
657,"Selective yellow End Table",$99.99,197
658,"Floral white Reclining Loveseat","$1,023.99",59
659,"Royal blue Coffee Table",$222.95,27
660,"Seal brown Nightstand",$81.99,210
661,"Sunglow Bench",$114.99,233
662,"Steel pink Reclining Loveseat","$1,023.99",209
663,"Royal purple Plant Stand",$42.99,120
664,"Manatee grey Dining Table",$800,147
665,"Lemon meringue Dining Chair",$89.99,236
666,"Old lace Dresser",$599.99,85
667,"Nickel Coffee Table",$222.95,202
668,"Egyptian blue Bed",$389.99,76
669,"Cadmium orange Headboard",$222.99,215
670,"Non-photo blue Reclining Sofa","$1,119.99",211
671,"Bright navy blue Wardrobe",$719.99,227
672,"Bright lilac Reclining Loveseat","$1,023.99",130
673,"University of Pennsylvania red Loveseat",$669.99,131
674,"Burnished brown Stool",$54.99,106
675,"Emerald Crib",$289,247
676,"Medium candy apple red Stool",$54.99,60
677,"Orange-yellow Bed",$389.99,27
678,"Vermilion Futon",$419.99,62
679,"Medium orchid Chaise Lounge",$235.99,246
680,"Dark brown Dresser",$599.99,159
681,"Black coffee Wardrobe",$719.99,173
682,"Spanish sky blue Headboard",$222.99,51
683,"Blue Loveseat",$669.99,37
684,"Dark orange Reclining Sofa","$1,119.99",115
685,"Brown Sleeper Sofa","$1,279.99",197
686,"Volt green Stool",$54.99,93
687,"Spanish carmine Bench",$114.99,45
688,"Spanish orange Sofa",$1249.99,31
689,"Tiffany Blue Futon",$419.99,55
690,"Spanish viridian Sofa",$1249.99,37
691,"Maximum yellow Wardrobe",$719.99,50
692,"Kelly green Sofa",$1249.99,211
693,"Bud green Crib",$289,242
694,"Silver pink Crib",$289,109
695,"Languid lavender Wardrobe",$719.99,123
696,"Maximum purple Dresser",$599.99,179
697,"Mango Wardrobe",$719.99,33
698,"Pale silver Loveseat",$669.99,87
699,"Tufts blue Ottoman",$92.99,135
700,"Maximum purple Sleeper Sofa","$1,279.99",205
701,"Medium aquamarine Loveseat",$669.99,211
702,"True Blue Storage Bench",$194.99,157
703,"Fiery rose Bed",$389.99,106
704,"Lemon glacier Headboard",$222.99,30
705,"Italian sky blue Bed",$389.99,91
706,"Dark cyan Bench",$114.99,194
707,"Phthalo green Bed",$389.99,250
708,"Bistre brown Storage Bench",$194.99,168
709,"Desert sand End Table",$99.99,120
710,"Salmon Chaise Lounge",$235.99,175
711,"Tuscan red Loveseat",$669.99,154
712,"Bright green Crib",$289,79
713,"Razzmic Berry End Table",$99.99,123
714,"Auburn Bed",$389.99,62
715,"Brandy Storage Bench",$194.99,193
716,"Dark brown Reclining Sofa","$1,119.99",201
717,"Hunter green Bench",$114.99,50
718,"Burnt umber Crib",$289,246
719,"Almond Crib",$289,130
720,"True Blue Ottoman",$92.99,183
721,"Phthalo green Stool",$54.99,32
722,"Malachite green Wardrobe",$719.99,92
723,"Wheat gold Reclining Loveseat","$1,023.99",148
724,"Black olive End Table",$99.99,89
725,"USAFA blue Storage Bench",$194.99,222
726,"Jazzberry jam Sofa",$1249.99,246
727,"Dark orange Plant Stand",$42.99,84
728,"Persian orange Dining Chair",$89.99,62
729,"Han purple Headboard",$222.99,40
730,"Antique white Chaise Lounge",$235.99,33
731,"Ocean green Crib",$289,235
732,"Mexican pink Plant Stand",$42.99,43
733,"Wintergreen Dream Sofa",$1249.99,188
734,"Mauve Dresser",$599.99,169
735,"Middle green Bed",$389.99,219
736,"Arctic lime Daybed",$711.99,171
737,"Congo pink Futon",$419.99,236
738,"Scarlet Coffee Table",$222.95,121
739,"Ruby Dining Table",$800,165
740,"Arctic lime Stool",$54.99,62
741,"Dark violet Storage Bench",$194.99,172
742,"Bittersweet shimmer Bed",$389.99,31
743,"Cinnamon Satin Dresser",$599.99,218
744,"Avocado Daybed",$711.99,203
745,"Light gray Ottoman",$92.99,80
746,"Persian indigo Ottoman",$92.99,57
747,"Dim gray Headboard",$222.99,147
748,"Raw umber Dresser",$599.99,46
749,"Brilliant rose Bed",$389.99,75
750,"Polished Pine Bench",$114.99,168
751,"Harvard Crimson Futon",$419.99,151
752,"Plum Sectional","$1,039.99",124
753,"Baby blue Bench",$114.99,96
754,"Snow white Ottoman",$92.99,202
755,"Marigold Sectional","$1,039.99",238
756,"Dark slate blue Dining Table",$800,143
757,"Fire opal Storage Bench",$194.99,183
758,"Burnt umber Reclining Sofa","$1,119.99",176
759,"Blood red Chaise Lounge",$235.99,175
760,"Shadow blue Sofa",$1249.99,214
761,"Salmon pink Sleeper Sofa","$1,279.99",218
762,"Desert Bench",$114.99,100
763,"Golden brown End Table",$99.99,244
764,"Jasmine Storage Bench",$194.99,157
765,"Payne's grey Crib",$289,89
766,"Unmellow yellow Loveseat",$669.99,160
767,"Lemon chiffon Stool",$54.99,91
768,"Rose Pompadour Chaise Lounge",$235.99,226
769,"Blizzard blue Chaise Lounge",$235.99,69
770,"Lilac Luster Bench",$114.99,215
771,"Turquoise green Reclining Loveseat","$1,023.99",33
772,"Wild blue yonder Storage Bench",$194.99,58
773,"Battleship grey Sleeper Sofa","$1,279.99",134
774,"Brown sugar Bed",$389.99,69
775,"Purple Plum Wardrobe",$719.99,31
776,"Antique white Dresser",$599.99,129
777,"Dark moss green Bench",$114.99,96
778,"Nadeshiko pink Daybed",$711.99,142
779,"Air superiority blue Sectional","$1,039.99",126
780,"Floral white Dresser",$599.99,246
781,"Maximum blue purple Plant Stand",$42.99,229
782,"Sap green Headboard",$222.99,58
783,"Mango Tango Coffee Table",$222.95,45
784,"Persian blue Dining Chair",$89.99,38
785,"Pewter Blue Reclining Sofa","$1,119.99",162
786,"Light steel blue Nightstand",$81.99,85
787,"Bright yellow Loveseat",$669.99,139
788,"Shadow grey Crib",$289,50
789,"Rich black Dresser",$599.99,195
790,"Sonic silver Bed",$389.99,112
791,"Opera mauve Plant Stand",$42.99,191
792,"June bud Bed",$389.99,176
793,"Hollywood cerise Loveseat",$669.99,140
794,"Black Futon",$419.99,65
795,"Light yellow Coffee Table",$222.95,164
796,"Bluetiful Crib",$289,184
797,"Seal brown End Table",$99.99,157
798,"Italian sky blue Storage Bench",$194.99,113
799,"Lemon yellow Bed",$389.99,179
800,"Linen Futon",$419.99,166
801,"Golden poppy Ottoman",$92.99,215
802,"Linen Reclining Sofa","$1,119.99",221
803,"Sandy brown Dining Chair",$89.99,80
804,"Lawn green Bench",$114.99,69
805,"Celadon blue Ottoman",$92.99,26
806,"Orange peel Sectional","$1,039.99",90
807,"Rust End Table",$99.99,97
808,"Black coffee Loveseat",$669.99,56
809,"Royal yellow Dining Chair",$89.99,97
810,"Cadmium yellow Reclining Sofa","$1,119.99",41
811,"Magenta Storage Bench",$194.99,180
812,"Green Daybed",$711.99,193
813,"True Blue Dining Table",$800,30
814,"Old lace Sleeper Sofa","$1,279.99",124
815,"Yellow Bed",$389.99,112
816,"Tumbleweed brown Chaise Lounge",$235.99,93
817,"Earth yellow Sleeper Sofa","$1,279.99",188
818,"Hot pink Ottoman",$92.99,197
819,"Opal Daybed",$711.99,116
820,"Celadon green Sofa",$1249.99,112
821,"Olivine End Table",$99.99,139
822,"Manatee grey Ottoman",$92.99,55
823,"Middle yellow End Table",$99.99,148
824,"Blast-off bronze Dresser",$599.99,136
825,"Unmellow yellow Wardrobe",$719.99,130
826,"Eton blue Reclining Sofa","$1,119.99",210
827,"Upsdell red Futon",$419.99,52
828,"Lavender blue End Table",$99.99,168
829,"Dark lava Dining Chair",$89.99,67
830,"Pakistan green Wardrobe",$719.99,225
831,"Cadmium green Loveseat",$669.99,216
832,"Mexican pink Coffee Table",$222.95,158
833,"Azure End Table",$99.99,111
834,"UP maroon Ottoman",$92.99,140
835,"Imperial red Sofa",$1249.99,232
836,"Lemon chiffon Crib",$289,173
837,"Deep champagne Wardrobe",$719.99,234
838,"Golden poppy Dresser",$599.99,86
839,"UA red Dresser",$599.99,151
840,"Van Dyke brown Plant Stand",$42.99,129
841,"Maximum purple Bench",$114.99,233
842,"Lime Sofa",$1249.99,147
843,"Pear Dresser",$599.99,230
844,"Maximum yellow red Nightstand",$81.99,51
845,"Rose quartz Reclining Loveseat","$1,023.99",40
846,"Navajo white Reclining Sofa","$1,119.99",245
847,"Baby pink Sofa",$1249.99,26
848,"Slate gray Dining Table",$800,248
849,"Cocoa brown Sectional","$1,039.99",133
850,"Volt green Plant Stand",$42.99,209
851,"Saddle brown Coffee Table",$222.95,206
852,"UA blue Stool",$54.99,227
853,"Sunglow Sectional","$1,039.99",143
854,"Middle yellow Reclining Loveseat","$1,023.99",42
855,"Granite gray Coffee Table",$222.95,157
856,"Seashell Sofa",$1249.99,177
857,"Light orange Ottoman",$92.99,37
858,"Fandango pink Reclining Loveseat","$1,023.99",49
859,"Raw umber Reclining Loveseat","$1,023.99",197
860,"Indian yellow Bench",$114.99,216
861,"Coffee Dining Table",$800,104
862,"Espresso Daybed",$711.99,64
863,"Raspberry glace Ottoman",$92.99,172
864,"Chinese red Reclining Sofa","$1,119.99",224
865,"Yellow Sunshine Dresser",$599.99,226
866,"Non-photo blue End Table",$99.99,50
867,"Picotee blue Dining Table",$800,25
868,"Middle green Bench",$114.99,37
869,"Sacramento State green Crib",$289,140
870,"Sage green Headboard",$222.99,172
871,"Super pink Bench",$114.99,249
872,"Neon blue Reclining Loveseat","$1,023.99",241
873,"Persian red Dresser",$599.99,106
874,"Sugar Plum Wardrobe",$719.99,242
875,"Congo pink Headboard",$222.99,58
876,"Beau blue Coffee Table",$222.95,245
877,"Cornsilk Coffee Table",$222.95,78
878,"Vivid sky blue Dining Table",$800,111
879,"Seashell Dining Table",$800,151
880,"Dark red Daybed",$711.99,249
881,"Bright maroon Bench",$114.99,169
882,"Rubine red Sofa",$1249.99,94
883,"Deep Space Sparkle Daybed",$711.99,109
884,"Titanium yellow Dining Chair",$89.99,228
885,"Sap green Dining Table",$800,221
886,"Imperial red Dining Chair",$89.99,146
887,"Blue sapphire Dining Chair",$89.99,188
888,"Mango Headboard",$222.99,51
889,"Fiery rose Futon",$419.99,109
890,"Red Sectional","$1,039.99",142
891,"Android green Reclining Loveseat","$1,023.99",213
892,"Persian rose Nightstand",$81.99,226
893,"Purple mountain majesty Dresser",$599.99,104
894,"Livid blue Sleeper Sofa","$1,279.99",153
895,"Rocket metallic Headboard",$222.99,121
896,"Raspberry Daybed",$711.99,116
897,"Dark spring green Bed",$389.99,56
898,"Fandango pink Reclining Loveseat","$1,023.99",135
899,"Salmon pink Storage Bench",$194.99,214
900,"Copper rose Bed",$389.99,182
901,"Fuchsia Futon",$419.99,152
902,"Coral Reclining Sofa","$1,119.99",47
903,"Maximum blue Dining Table",$800,79
904,"Razzmic Berry Headboard",$222.99,217
905,"Ocean Blue Reclining Sofa","$1,119.99",124
906,"Cyber grape Reclining Sofa","$1,119.99",154
907,"French lime Dining Chair",$89.99,176
908,"Chocolate Cosmos Sleeper Sofa","$1,279.99",60
909,"Medium slate blue End Table",$99.99,134
910,"Castleton green Dining Chair",$89.99,145
911,"Phthalo blue Dining Chair",$89.99,141
912,"Coyote brown Headboard",$222.99,211
913,"Burgundy Chaise Lounge",$235.99,101
914,"UP maroon Bench",$114.99,126
915,"Quick Silver Nightstand",$81.99,231
916,"Maximum blue green Daybed",$711.99,160
917,"Amaranth purple Nightstand",$81.99,132
918,"Mountain Meadow green Wardrobe",$719.99,195
919,"Picotee blue Dining Table",$800,53
920,"Roman silver Bench",$114.99,134
921,"United Nations blue Sectional","$1,039.99",217
922,"Vivid sky blue Sofa",$1249.99,155
923,"Outrageous Orange Coffee Table",$222.95,215
924,"Violet-blue Crib",$289,59
925,"Maximum blue green Dining Chair",$89.99,106
926,"Vanilla Sofa",$1249.99,167
927,"Blond Plant Stand",$42.99,116
928,"Mantis green Loveseat",$669.99,169
929,"Firebrick Wardrobe",$719.99,203
930,"Indigo dye Sleeper Sofa","$1,279.99",135
931,"Mandarin Crib",$289,107
932,"Light orange Futon",$419.99,56
933,"Sienna Ottoman",$92.99,210
934,"Orange Stool",$54.99,171
935,"Electric blue Wardrobe",$719.99,104
936,"Burnished brown Futon",$419.99,221
937,"Arylide yellow Chaise Lounge",$235.99,70
938,"Burnished brown Reclining Sofa","$1,119.99",129
939,"Old mauve Sleeper Sofa","$1,279.99",136
940,"Tart Orange Reclining Sofa","$1,119.99",137
941,"Nadeshiko pink Reclining Loveseat","$1,023.99",185
942,"Falu red Reclining Sofa","$1,119.99",231
943,"Medium candy apple red Dresser",$599.99,182
944,"Chili red Ottoman",$92.99,59
945,"Tawny Sleeper Sofa","$1,279.99",249
946,"Black Ottoman",$92.99,209
947,"Light French beige Dresser",$599.99,117
948,"Steel blue Daybed",$711.99,149
949,"KSU purple Stool",$54.99,50
950,"Dark blue-gray Coffee Table",$222.95,213
951,"Dim gray Wardrobe",$719.99,75
952,"Tangerine Plant Stand",$42.99,92
953,"Aqua Futon",$419.99,249
954,"Light green Reclining Loveseat","$1,023.99",108
955,"Volt green Ottoman",$92.99,170
956,"Ocean Blue Dining Table",$800,115
957,"Aquamarine Sleeper Sofa","$1,279.99",95
958,"Sunray gold Sofa",$1249.99,201
959,"Blue-violet End Table",$99.99,116
960,"Brunswick green Sofa",$1249.99,135
961,"Gold Plant Stand",$42.99,232
962,"Denim blue Plant Stand",$42.99,154
963,"Electric green Coffee Table",$222.95,205
964,"Phthalo blue Coffee Table",$222.95,71
965,"Spanish gray Dining Table",$800,214
966,"English vermillion Plant Stand",$42.99,153
967,"Deep chestnut Daybed",$711.99,112
968,"Princeton orange Chaise Lounge",$235.99,200
969,"Mango End Table",$99.99,119
970,"Twilight lavender Dining Chair",$89.99,122
971,"Macaroni and Cheese Reclining Sofa","$1,119.99",151
972,"Light pink Daybed",$711.99,63
973,"Sacramento State green Nightstand",$81.99,61
974,"Antique white Sofa",$1249.99,233
975,"Green Lizard Coffee Table",$222.95,210
976,"Dark chocolate Headboard",$222.99,149
977,"Dark electric blue Storage Bench",$194.99,174
978,"Rosewood End Table",$99.99,32
979,"Heliotrope gray Sectional","$1,039.99",187
980,"Purple Chaise Lounge",$235.99,66
981,"Pictorial carmine Storage Bench",$194.99,27
982,"Gold Coffee Table",$222.95,45
983,"Aero blue Wardrobe",$719.99,242
984,"Pale spring bud Crib",$289,199
985,"Shiny Shamrock Loveseat",$669.99,158
986,"Pale purple Bench",$114.99,182
987,"Jade Ottoman",$92.99,97
988,"UA blue Sofa",$1249.99,220
989,"Desert sand Ottoman",$92.99,221
990,"Mango Tango Ottoman",$92.99,96
991,"Liseran purple Loveseat",$669.99,195
992,"French lilac Headboard",$222.99,233
993,"Ocean green Dining Table",$800,129
994,"Blue-green Wardrobe",$719.99,119
995,"Cyan Loveseat",$669.99,193
996,"Laurel green Crib",$289,236
997,"Snow white Dining Chair",$89.99,46
998,"Dark cornflower blue Loveseat",$669.99,94
999,"Cadmium yellow Headboard",$222.99,240
1000,"Purple mountain majesty Sofa",$1249.99,136
1001,"Red-violet Sectional","$1,039.99",51
1002,"Copper rose End Table",$99.99,146
1003,"Spanish gray Nightstand",$81.99,231
1004,"Amber Sofa",$1249.99,244
1005,"Kelly green Storage Bench",$194.99,196
1006,"Platinum Chaise Lounge",$235.99,158
1007,"Light sea green Plant Stand",$42.99,153
1008,"Sap green Sectional","$1,039.99",166
1009,"Black coffee Wardrobe",$719.99,48
1010,"Platinum End Table",$99.99,64
1011,"Hansa yellow Daybed",$711.99,248
1012,"Pacific blue Reclining Sofa","$1,119.99",66
1013,"Rojo Spanish red Loveseat",$669.99,49
1014,"French pink Plant Stand",$42.99,108
1015,"Medium candy apple red Sectional","$1,039.99",168
1016,"Sand dune Futon",$419.99,71
1017,"Alabaster Futon",$419.99,243
1018,"Tyrian purple Bed",$389.99,65
1019,"Laser lemon Plant Stand",$42.99,136
1020,"Baby pink Loveseat",$669.99,221
1021,"Marigold Chaise Lounge",$235.99,103
1022,"Ocean Blue Sofa",$1249.99,26
1023,"Rebecca Purple End Table",$99.99,211
1024,"Deep saffron Wardrobe",$719.99,112
1025,"Sepia Daybed",$711.99,70
1026,"Opal Bench",$114.99,205
1027,"Maximum purple End Table",$99.99,247
1028,"Oxford blue Daybed",$711.99,107
1029,"Shocking pink Sleeper Sofa","$1,279.99",116
1030,"Persian plum Reclining Loveseat","$1,023.99",165
1031,"India green Wardrobe",$719.99,29
1032,"Portland Orange Nightstand",$81.99,224
1033,"Parchment Plant Stand",$42.99,36
1034,"Mint Dining Table",$800,199
1035,"Tango pink Chaise Lounge",$235.99,244
1036,"Oxford blue Reclining Sofa","$1,119.99",73
1037,"Lavender gray Chaise Lounge",$235.99,167
1038,"Chocolate Sectional","$1,039.99",176
1039,"Cadet blue Crib",$289,27
1040,"Ruby Dining Table",$800,149
1041,"Cosmic cobalt Storage Bench",$194.99,164
1042,"Blast-off bronze Sleeper Sofa","$1,279.99",44
1043,"Ocean Blue Dresser",$599.99,225
1044,"Light sea green Plant Stand",$42.99,36
1045,"Rosy brown Dresser",$599.99,153
1046,"Light cyan Dining Table",$800,62
1047,"Indian yellow Coffee Table",$222.95,168
1048,"Pictorial carmine Chaise Lounge",$235.99,87
1049,"Lime green Reclining Loveseat","$1,023.99",171
1050,"Copper Plant Stand",$42.99,48
1051,"Old burgundy Reclining Sofa","$1,119.99",158
1052,"Purple navy Bench",$114.99,86
1053,"Dogwood rose Sleeper Sofa","$1,279.99",235
1054,"Rubine red Crib",$289,69
1055,"Electric blue Chaise Lounge",$235.99,49
1056,"Sapphire blue Storage Bench",$194.99,169
1057,"Dark goldenrod Sleeper Sofa","$1,279.99",243
1058,"Parchment Reclining Loveseat","$1,023.99",26
1059,"Cerulean blue Dining Chair",$89.99,145
1060,"Gold Fusion Reclining Sofa","$1,119.99",132
1061,"Heliotrope End Table",$99.99,228
1062,"Dark brown End Table",$99.99,38
1063,"Magic mint Reclining Sofa","$1,119.99",61
1064,"Big dip o’ruby Bed",$389.99,192
1065,"Harvard Crimson Crib",$289,66
1066,"Satin sheen gold Dining Chair",$89.99,180
1067,"Maximum blue purple Bed",$389.99,133
1068,"Maya blue Bed",$389.99,181
1069,"Opal Dining Table",$800,83
1070,"Blaze orange Stool",$54.99,229
1071,"Teal blue Crib",$289,215
1072,"Corn Sofa",$1249.99,164
1073,"Spanish pink Chaise Lounge",$235.99,104
1074,"Wild orchid Ottoman",$92.99,166
1075,"Medium spring green Chaise Lounge",$235.99,37
1076,"Japanese carmine Dresser",$599.99,173
1077,"Tufts blue Reclining Loveseat","$1,023.99",147
1078,"Charm pink Coffee Table",$222.95,219
1079,"Bottle green Reclining Sofa","$1,119.99",148
1080,"Dutch white Reclining Loveseat","$1,023.99",37
1081,"Fire opal Dining Chair",$89.99,75
1082,"Light French beige End Table",$99.99,135
1083,"Bluetiful Dresser",$599.99,175
1084,"Cotton candy Reclining Loveseat","$1,023.99",224
1085,"Medium candy apple red Plant Stand",$42.99,232
1086,"Fuchsia Coffee Table",$222.95,91
1087,"Black olive Reclining Sofa","$1,119.99",208
1088,"Blue yonder Loveseat",$669.99,93
1089,"Amaranth pink Sleeper Sofa","$1,279.99",27
1090,"Blue jeans Chaise Lounge",$235.99,219
1091,"Pale purple Nightstand",$81.99,31
1092,"Opal Bench",$114.99,47
1093,"Rusty red Crib",$289,127
1094,"Firebrick Wardrobe",$719.99,65
1095,"Neon blue End Table",$99.99,36
1096,"Old burgundy Coffee Table",$222.95,175
1097,"Vivid tangerine Headboard",$222.99,57
1098,"Baker-Miller pink Bed",$389.99,138
1099,"Pale Dogwood Dresser",$599.99,111
1100,"UP maroon Dining Table",$800,143
1101,"Slate gray Sleeper Sofa","$1,279.99",187
1102,"Aqua Stool",$54.99,77
1103,"Lavender gray Plant Stand",$42.99,68
1104,"Russian green Crib",$289,135
1105,"Resolution blue Bench",$114.99,92
1106,"Silver chalice Plant Stand",$42.99,154
1107,"Phthalo blue Bed",$389.99,72
1108,"Deep taupe End Table",$99.99,152
1109,"Lavender blue Sleeper Sofa","$1,279.99",114
1110,"Spanish green Loveseat",$669.99,201
1111,"Blast-off bronze Headboard",$222.99,97
1112,"Cadmium green End Table",$99.99,74
1113,"Orchid Coffee Table",$222.95,204
1114,"Languid lavender Bench",$114.99,235
1115,"Dark moss green Bench",$114.99,75
1116,"Shadow blue Reclining Sofa","$1,119.99",104
1117,"Naples yellow Reclining Loveseat","$1,023.99",90
1118,"Sapphire Ottoman",$92.99,43
1119,"Burnt orange Storage Bench",$194.99,66
1120,"Copper rose Sectional","$1,039.99",219
1121,"Trypan Blue Bench",$114.99,172
1122,"China pink Nightstand",$81.99,201
1123,"Citron Daybed",$711.99,27
1124,"Dutch white Reclining Loveseat","$1,023.99",81
1125,"Big dip o’ruby Plant Stand",$42.99,81
1126,"Kelly green Headboard",$222.99,128
1127,"United Nations blue Chaise Lounge",$235.99,27
1128,"Dark violet Bed",$389.99,54
1129,"French lilac Bed",$389.99,155
1130,"Jungle green Bench",$114.99,72
1131,"Dark orchid Bed",$389.99,244
1132,"Dark khaki Futon",$419.99,212
1133,"Rose madder Sofa",$1249.99,147
1134,"Pastel pink Bench",$114.99,188
1135,"Macaroni and Cheese Headboard",$222.99,123
1136,"Firebrick Futon",$419.99,79
1137,"Parchment Dining Table",$800,100
1138,"Mimi pink Daybed",$711.99,61
1139,"Salmon pink End Table",$99.99,67
1140,"Heliotrope Bed",$389.99,107
1141,"Coral Headboard",$222.99,64
1142,"Brink pink Chaise Lounge",$235.99,239
1143,"Pale spring bud Plant Stand",$42.99,77
1144,"Battleship grey Sleeper Sofa","$1,279.99",220
1145,"Light sea green Headboard",$222.99,112
1146,"Winter Sky Storage Bench",$194.99,125
1147,"Lilac Luster Daybed",$711.99,220
1148,"Palatinate purple Reclining Loveseat","$1,023.99",220
1149,"Denim Loveseat",$669.99,246
1150,"Jasmine Sleeper Sofa","$1,279.99",29
1151,"UA blue Ottoman",$92.99,214
1152,"Deep taupe Reclining Sofa","$1,119.99",94
1153,"Vegas gold Headboard",$222.99,125
1154,"Syracuse Orange Ottoman",$92.99,42
1155,"Ming Plant Stand",$42.99,159
1156,"Pale purple Sleeper Sofa","$1,279.99",136
1157,"Wild watermelon Bed",$389.99,222
1158,"Blue-gray Dresser",$599.99,55
1159,"Taupe gray Dining Chair",$89.99,80
1160,"Middle blue Stool",$54.99,138
1161,"Dark khaki Reclining Loveseat","$1,023.99",193
1162,"Old lace Sofa",$1249.99,150
1163,"Lemon Loveseat",$669.99,122
1164,"Spanish red Dining Chair",$89.99,216
1165,"Bud green Wardrobe",$719.99,145
1166,"Orange-red Reclining Loveseat","$1,023.99",202
1167,"Denim blue End Table",$99.99,50
1168,"Antique white Reclining Sofa","$1,119.99",29
1169,"Medium aquamarine Stool",$54.99,133
1170,"Han blue Stool",$54.99,54
1171,"Dark slate gray Wardrobe",$719.99,182
1172,"UA blue Crib",$289,45
1173,"Russian green Futon",$419.99,162
1174,"Dark pastel green Storage Bench",$194.99,234
1175,"Vermilion Sectional","$1,039.99",189
1176,"Light cornflower blue Stool",$54.99,32
1177,"Blast-off bronze Sectional","$1,039.99",162
1178,"Picotee blue Futon",$419.99,196
1179,"Persian red Dining Chair",$89.99,106
1180,"Jet Bench",$114.99,178
1181,"Red Chaise Lounge",$235.99,69
1182,"Vivid tangerine Ottoman",$92.99,70
1183,"Rose red Stool",$54.99,92
1184,"Laser lemon Headboard",$222.99,79
1185,"Celadon blue Headboard",$222.99,64
1186,"Pink lace Sectional","$1,039.99",49
1187,"Portland Orange Bed",$389.99,60
1188,"Queen blue Chaise Lounge",$235.99,242
1189,"Medium spring green Sectional","$1,039.99",104
1190,"Acid green Sectional","$1,039.99",164
1191,"Celadon blue Stool",$54.99,155
1192,"Pacific blue Reclining Loveseat","$1,023.99",109
1193,"Fawn Ottoman",$92.99,126
1194,"Cerulean Futon",$419.99,40
1195,"Orange-red Nightstand",$81.99,226
1196,"Kombu green End Table",$99.99,131
1197,"Violet-red Sofa",$1249.99,62
1198,"Minion yellow Daybed",$711.99,122
1199,"Cerulean frost Crib",$289,194
1200,"Cream Stool",$54.99,73
1201,"Lavender Daybed",$711.99,25
1202,"Chili red Storage Bench",$194.99,171
1203,"Aquamarine Futon",$419.99,168
1204,"Maize Loveseat",$669.99,161
1205,"Blue Wardrobe",$719.99,179
1206,"Pale spring bud Ottoman",$92.99,37
1207,"Bright green Dining Chair",$89.99,245
1208,"Thistle grey Wardrobe",$719.99,56
1209,"Neon Carrot Headboard",$222.99,231
1210,"Rose bonbon Futon",$419.99,187
1211,"Copper penny Crib",$289,99
1212,"Pink flamingo Sleeper Sofa","$1,279.99",166
1213,"June bud Futon",$419.99,177
1214,"Neon green Reclining Loveseat","$1,023.99",81
1215,"Thistle grey Coffee Table",$222.95,230
1216,"Yale Blue Coffee Table",$222.95,100
1217,"Sheen green Crib",$289,93
1218,"Wine dregs maroon Crib",$289,79
1219,"Coral Loveseat",$669.99,191
1220,"Cool grey Headboard",$222.99,78
1221,"Mango Crib",$289,177
1222,"Fuchsia Crib",$289,155
1223,"Trypan Blue Sectional","$1,039.99",117
1224,"Papaya whip Nightstand",$81.99,77
1225,"Bittersweet shimmer Reclining Loveseat","$1,023.99",115
1226,"Chocolate Daybed",$711.99,124
1227,"Safety orange Sofa",$1249.99,92
1228,"Burnt orange Loveseat",$669.99,93
1229,"Dark electric blue Stool",$54.99,245
1230,"Fluorescent blue End Table",$99.99,51
1231,"Sonic silver Plant Stand",$42.99,76
1232,"Orchid Reclining Loveseat","$1,023.99",98
1233,"Vanilla ice Stool",$54.99,167
1234,"Denim Dining Chair",$89.99,166
1235,"Dark sienna Wardrobe",$719.99,197
1236,"Titanium yellow Headboard",$222.99,137
1237,"Tropical rainforest Loveseat",$669.99,75
1238,"Tangerine Stool",$54.99,52
1239,"Medium spring green Dresser",$599.99,244
1240,"Light sea green Wardrobe",$719.99,101
1241,"Princeton orange Storage Bench",$194.99,119
1242,"Antique bronze Reclining Loveseat","$1,023.99",234
1243,"Rosewood Reclining Loveseat","$1,023.99",217
1244,"Raisin black Ottoman",$92.99,70
1245,"Tuscan tan Daybed",$711.99,120
1246,"Baby powder blue Sleeper Sofa","$1,279.99",139
1247,"Brilliant rose Bed",$389.99,47
1248,"Princeton orange Chaise Lounge",$235.99,203
1249,"Redwood Dining Table",$800,143
1250,"Shadow grey Coffee Table",$222.95,143
1251,"Wild blue yonder Crib",$289,243
1252,"Dark orchid Crib",$289,38
1253,"Lion gold Sleeper Sofa","$1,279.99",85
1254,"Straw Sofa",$1249.99,243
1255,"Portland Orange End Table",$99.99,196
1256,"Wood brown Plant Stand",$42.99,100
1257,"Lavender blue Bench",$114.99,137
1258,"Silver sand Sectional","$1,039.99",94
1259,"Arctic lime Reclining Sofa","$1,119.99",108
1260,"Spanish gray Sleeper Sofa","$1,279.99",184
1261,"Heliotrope Reclining Sofa","$1,119.99",206
1262,"Rosewood Loveseat",$669.99,44
1263,"YInMn Blue Coffee Table",$222.95,248
1264,"English red Dining Chair",$89.99,47
1265,"June bud Bed",$389.99,230
1266,"Mardi Gras purple Wardrobe",$719.99,26
1267,"Lava Stool",$54.99,213
